fold,horizon_min,family,k,iterations,strict_converged,last_delta,delta_per_observation,practical_converged_1e_5
0,1,gaussian_hmm,7,300,False,0.6874613654799759,3.314248770549381e-06,True
0,1,student_t_shared,7,300,False,0.021543116366956383,1.0385928652606897e-07,True
0,1,student_t_state,7,272,True,0.009824738430324942,4.736502863828518e-08,True
0,2,gaussian_hmm,7,300,False,0.19877520091540646,1.9217030744840477e-06,True
0,2,student_t_shared,7,300,False,0.06410137728380505,6.197141959241378e-07,True
0,2,student_t_state,7,300,False,0.09278544336848427,8.970237281483827e-07,True
1,1,gaussian_hmm,7,300,False,1.006631546682911,4.766902399869826e-06,True
1,1,student_t_shared,6,300,False,0.14292717914213426,6.768314737446631e-07,True
1,1,student_t_state,7,300,False,0.010094859608216211,4.780419474367319e-08,True
1,2,gaussian_hmm,7,300,False,0.048544474033406004,4.5991486611596296e-07,True
1,2,student_t_shared,7,300,False,0.02501766144996509,2.3701965353208487e-07,True
1,2,student_t_state,7,300,False,0.06353594623215031,6.019454693195736e-07,True
