model_key,fold,event,stable_state_id,cost
h1__gaussian_hmm,0,new,h1__gaussian_hmm::R001,
h1__gaussian_hmm,0,new,h1__gaussian_hmm::R002,
h1__gaussian_hmm,0,new,h1__gaussian_hmm::R003,
h1__gaussian_hmm,0,new,h1__gaussian_hmm::R004,
h1__gaussian_hmm,0,new,h1__gaussian_hmm::R005,
h1__gaussian_hmm,0,new,h1__gaussian_hmm::R006,
h1__gaussian_hmm,0,new,h1__gaussian_hmm::R007,
h1__gaussian_hmm,1,matched,h1__gaussian_hmm::R001,0.03703674925528751
h1__gaussian_hmm,1,matched,h1__gaussian_hmm::R002,0.12524512282512307
h1__gaussian_hmm,1,matched,h1__gaussian_hmm::R003,0.036546154327066704
h1__gaussian_hmm,1,matched,h1__gaussian_hmm::R004,0.0692173262768117
h1__gaussian_hmm,1,matched,h1__gaussian_hmm::R005,0.057878839975354965
h1__gaussian_hmm,1,matched,h1__gaussian_hmm::R006,0.051337494934878145
h1__gaussian_hmm,1,matched,h1__gaussian_hmm::R007,0.01960348973090322
h1__student_t_shared,0,new,h1__student_t_shared::R001,
h1__student_t_shared,0,new,h1__student_t_shared::R002,
h1__student_t_shared,0,new,h1__student_t_shared::R003,
h1__student_t_shared,0,new,h1__student_t_shared::R004,
h1__student_t_shared,0,new,h1__student_t_shared::R005,
h1__student_t_shared,0,new,h1__student_t_shared::R006,
h1__student_t_shared,0,new,h1__student_t_shared::R007,
h1__student_t_shared,1,matched,h1__student_t_shared::R001,0.17685244934229957
h1__student_t_shared,1,matched,h1__student_t_shared::R002,0.1518909219012618
h1__student_t_shared,1,matched,h1__student_t_shared::R004,0.3768590135732494
h1__student_t_shared,1,matched,h1__student_t_shared::R005,0.6598620777167147
h1__student_t_shared,1,matched,h1__student_t_shared::R006,0.1250836415629402
h1__student_t_shared,1,matched,h1__student_t_shared::R007,0.09232030001432115
h1__student_t_shared,1,retired,h1__student_t_shared::R003,
h1__student_t_state,0,new,h1__student_t_state::R001,
h1__student_t_state,0,new,h1__student_t_state::R002,
h1__student_t_state,0,new,h1__student_t_state::R003,
h1__student_t_state,0,new,h1__student_t_state::R004,
h1__student_t_state,0,new,h1__student_t_state::R005,
h1__student_t_state,0,new,h1__student_t_state::R006,
h1__student_t_state,0,new,h1__student_t_state::R007,
h1__student_t_state,1,matched,h1__student_t_state::R001,0.02767117533571928
h1__student_t_state,1,matched,h1__student_t_state::R002,0.11803601187190196
h1__student_t_state,1,matched,h1__student_t_state::R003,0.09560761697823333
h1__student_t_state,1,matched,h1__student_t_state::R004,0.11166115242939813
h1__student_t_state,1,matched,h1__student_t_state::R005,0.05602754464186699
h1__student_t_state,1,matched,h1__student_t_state::R006,0.09971455872082718
h1__student_t_state,1,matched,h1__student_t_state::R007,0.07122102912947698
h2__gaussian_hmm,0,new,h2__gaussian_hmm::R001,
h2__gaussian_hmm,0,new,h2__gaussian_hmm::R002,
h2__gaussian_hmm,0,new,h2__gaussian_hmm::R003,
h2__gaussian_hmm,0,new,h2__gaussian_hmm::R004,
h2__gaussian_hmm,0,new,h2__gaussian_hmm::R005,
h2__gaussian_hmm,0,new,h2__gaussian_hmm::R006,
h2__gaussian_hmm,0,new,h2__gaussian_hmm::R007,
h2__gaussian_hmm,1,matched,h2__gaussian_hmm::R001,0.17821179750265595
h2__gaussian_hmm,1,matched,h2__gaussian_hmm::R002,0.47912336846432685
h2__gaussian_hmm,1,matched,h2__gaussian_hmm::R003,0.23552438162469996
h2__gaussian_hmm,1,matched,h2__gaussian_hmm::R004,0.41657679581930573
h2__gaussian_hmm,1,matched,h2__gaussian_hmm::R005,0.7023845272632924
h2__gaussian_hmm,1,matched,h2__gaussian_hmm::R006,0.12259724370679263
h2__gaussian_hmm,1,matched,h2__gaussian_hmm::R007,0.06741508613853514
h2__student_t_shared,0,new,h2__student_t_shared::R001,
h2__student_t_shared,0,new,h2__student_t_shared::R002,
h2__student_t_shared,0,new,h2__student_t_shared::R003,
h2__student_t_shared,0,new,h2__student_t_shared::R004,
h2__student_t_shared,0,new,h2__student_t_shared::R005,
h2__student_t_shared,0,new,h2__student_t_shared::R006,
h2__student_t_shared,0,new,h2__student_t_shared::R007,
h2__student_t_shared,1,matched,h2__student_t_shared::R001,0.05112504243010295
h2__student_t_shared,1,matched,h2__student_t_shared::R002,0.14087115139096046
h2__student_t_shared,1,matched,h2__student_t_shared::R003,0.047312042127505796
h2__student_t_shared,1,matched,h2__student_t_shared::R004,0.09630601964562974
h2__student_t_shared,1,matched,h2__student_t_shared::R005,0.08308672052070129
h2__student_t_shared,1,matched,h2__student_t_shared::R006,0.06136265453198503
h2__student_t_shared,1,matched,h2__student_t_shared::R007,0.02795317574601008
h2__student_t_state,0,new,h2__student_t_state::R001,
h2__student_t_state,0,new,h2__student_t_state::R002,
h2__student_t_state,0,new,h2__student_t_state::R003,
h2__student_t_state,0,new,h2__student_t_state::R004,
h2__student_t_state,0,new,h2__student_t_state::R005,
h2__student_t_state,0,new,h2__student_t_state::R006,
h2__student_t_state,0,new,h2__student_t_state::R007,
h2__student_t_state,1,matched,h2__student_t_state::R001,0.060319446178483005
h2__student_t_state,1,matched,h2__student_t_state::R002,0.07768614038951079
h2__student_t_state,1,matched,h2__student_t_state::R003,0.07899387035360206
h2__student_t_state,1,matched,h2__student_t_state::R004,0.18224398934012923
h2__student_t_state,1,matched,h2__student_t_state::R005,0.07188539005667094
h2__student_t_state,1,matched,h2__student_t_state::R006,0.07417884858378568
h2__student_t_state,1,matched,h2__student_t_state::R007,0.04224034094126406
