fold,horizon_min,family,model_key,log_density,gain_vs_student,observations
0,1,gaussian,h1__gaussian,5.831730249077325,-0.13871072525013706,31149
0,1,gaussian_hmm,h1__gaussian_hmm,6.110827611393053,0.14038663706559107,31149
0,1,gmm,h1__gmm,5.971547334823416,0.0011063604959536378,31149
0,1,student_t,h1__student_t,5.970440974327462,0.0,31149
0,1,student_t_shared,h1__student_t_shared,6.122519600528843,0.1520786262013808,31149
0,1,student_t_state,h1__student_t_state,6.116538707903939,0.14609773357647673,31149
0,2,gaussian,h2__gaussian,5.525517959012184,-0.15244455286642106,15568
0,2,gaussian_hmm,h2__gaussian_hmm,5.797279004829088,0.11931649295048256,15568
0,2,gmm,h2__gmm,5.674698438983592,-0.0032640728950139707,15568
0,2,student_t,h2__student_t,5.677962511878605,0.0,15568
0,2,student_t_shared,h2__student_t_shared,5.802563501739377,0.1246009898607714,15568
0,2,student_t_state,h2__student_t_state,5.802596242971593,0.12463373109298707,15568
1,1,gaussian,h1__gaussian,6.024231410439854,-0.19574680898360772,28763
1,1,gaussian_hmm,h1__gaussian_hmm,6.3335956176568065,0.11361739823334402,28763
1,1,gmm,h1__gmm,6.210463540570805,-0.00951467885265728,28763
1,1,student_t,h1__student_t,6.219978219423462,0.0,28763
1,1,student_t_shared,h1__student_t_shared,6.336722678240369,0.11674445881690666,28763
1,1,student_t_state,h1__student_t_state,6.336408057735146,0.1164298383116843,28763
1,2,gaussian,h2__gaussian,5.700300033764773,-0.19677776935996946,14377
1,2,gaussian_hmm,h2__gaussian_hmm,5.996882499809056,0.09980469668431348,14377
1,2,gmm,h2__gmm,5.892495672744026,-0.004582130380715651,14377
1,2,student_t,h2__student_t,5.897077803124742,0.0,14377
1,2,student_t_shared,h2__student_t_shared,6.0019500744618925,0.10487227133715081,14377
1,2,student_t_state,h2__student_t_state,6.001908045835435,0.10483024271069254,14377
