fold,horizon_min,family,threshold,selected_k,eligible_candidates,same_k_as_1pct
6,1,gaussian_hmm,0.005,7,6,True
6,1,gaussian_hmm,0.01,7,6,True
6,1,gaussian_hmm,0.02,7,6,True
6,1,gaussian_hmm,0.05,4,3,False
6,1,student_t_shared,0.005,7,6,True
6,1,student_t_shared,0.01,7,6,True
6,1,student_t_shared,0.02,7,6,True
6,1,student_t_shared,0.05,2,3,False
6,1,student_t_state,0.005,7,6,True
6,1,student_t_state,0.01,7,6,True
6,1,student_t_state,0.02,7,6,True
6,1,student_t_state,0.05,3,3,False
6,2,gaussian_hmm,0.005,7,6,True
6,2,gaussian_hmm,0.01,7,6,True
6,2,gaussian_hmm,0.02,7,6,True
6,2,gaussian_hmm,0.05,4,3,False
6,2,student_t_shared,0.005,7,6,True
6,2,student_t_shared,0.01,7,6,True
6,2,student_t_shared,0.02,7,6,True
6,2,student_t_shared,0.05,3,3,False
6,2,student_t_state,0.005,7,6,True
6,2,student_t_state,0.01,7,6,True
6,2,student_t_state,0.02,7,6,True
6,2,student_t_state,0.05,3,3,False
7,1,gaussian_hmm,0.005,7,6,False
7,1,gaussian_hmm,0.01,4,3,True
7,1,gaussian_hmm,0.02,4,3,True
7,1,gaussian_hmm,0.05,2,1,False
7,1,student_t_shared,0.005,7,6,True
7,1,student_t_shared,0.01,7,6,True
7,1,student_t_shared,0.02,2,3,False
7,1,student_t_shared,0.05,2,3,False
7,1,student_t_state,0.005,7,6,True
7,1,student_t_state,0.01,7,6,True
7,1,student_t_state,0.02,3,3,False
7,1,student_t_state,0.05,3,3,False
7,2,gaussian_hmm,0.005,7,6,False
7,2,gaussian_hmm,0.01,4,3,True
7,2,gaussian_hmm,0.02,4,3,True
7,2,gaussian_hmm,0.05,2,1,False
7,2,student_t_shared,0.005,7,6,False
7,2,student_t_shared,0.01,6,5,True
7,2,student_t_shared,0.02,3,3,False
7,2,student_t_shared,0.05,2,1,False
7,2,student_t_state,0.005,7,6,True
7,2,student_t_state,0.01,7,6,True
7,2,student_t_state,0.02,3,3,False
7,2,student_t_state,0.05,3,3,False
