comparison,left,right,days,block_days,iterations,mean_difference,ci_95_low,ci_95_high,probability_mean_positive
gain_vs_student,h1__gaussian,zero,249,1,2000,-0.10322922404940225,-0.14289853814121828,-0.07167725976028348,0.0
gain_vs_student,h1__gaussian,zero,249,5,2000,-0.10322922404940225,-0.1444645602636775,-0.06471352003927282,0.0
gain_vs_student,h1__gaussian,zero,249,10,2000,-0.10322922404940225,-0.1449565982622538,-0.06271054102934893,0.0
gain_vs_student,h1__gaussian,zero,249,20,2000,-0.10322922404940225,-0.1521072377830122,-0.05622440127205516,0.0
gain_vs_student,h1__gaussian_hmm,zero,249,1,2000,0.10913683068801955,0.09529174499309045,0.12370889498379348,1.0
gain_vs_student,h1__gaussian_hmm,zero,249,5,2000,0.10913683068801955,0.08831036205523486,0.13363380574550357,1.0
gain_vs_student,h1__gaussian_hmm,zero,249,10,2000,0.10913683068801955,0.08587341417224417,0.13700533646775004,1.0
gain_vs_student,h1__gaussian_hmm,zero,249,20,2000,0.10913683068801955,0.08312060308885826,0.13886853066202656,1.0
gain_vs_student,h1__gmm,zero,249,1,2000,-0.005169371283824583,-0.007922298855814577,-0.0031340321578002036,0.0
gain_vs_student,h1__gmm,zero,249,5,2000,-0.005169371283824583,-0.007728979912491237,-0.0031438786881348027,0.0
gain_vs_student,h1__gmm,zero,249,10,2000,-0.005169371283824583,-0.007580769388268671,-0.003052313236605669,0.0
gain_vs_student,h1__gmm,zero,249,20,2000,-0.005169371283824583,-0.007396368329069495,-0.0031870331128713483,0.0
gain_vs_student,h1__student_t,zero,249,1,2000,0.0,0.0,0.0,0.0
gain_vs_student,h1__student_t,zero,249,5,2000,0.0,0.0,0.0,0.0
gain_vs_student,h1__student_t,zero,249,10,2000,0.0,0.0,0.0,0.0
gain_vs_student,h1__student_t,zero,249,20,2000,0.0,0.0,0.0,0.0
gain_vs_student,h1__student_t_shared,zero,249,1,2000,0.11241075926820321,0.09888754183330535,0.12717750442638956,1.0
gain_vs_student,h1__student_t_shared,zero,249,5,2000,0.11241075926820321,0.09013077446701942,0.13699210788754146,1.0
gain_vs_student,h1__student_t_shared,zero,249,10,2000,0.11241075926820321,0.08793701909037009,0.14122173130778207,1.0
gain_vs_student,h1__student_t_shared,zero,249,20,2000,0.11241075926820321,0.08524748476730316,0.14348764760736032,1.0
gain_vs_student,h1__student_t_state,zero,249,1,2000,0.11231147515284882,0.09885618179603912,0.12689849107752932,1.0
gain_vs_student,h1__student_t_state,zero,249,5,2000,0.11231147515284882,0.09013379002206824,0.13681900936775016,1.0
gain_vs_student,h1__student_t_state,zero,249,10,2000,0.11231147515284882,0.08807578830311195,0.14090889182662564,1.0
gain_vs_student,h1__student_t_state,zero,249,20,2000,0.11231147515284882,0.08530002197527285,0.1430367694516453,1.0
gain_vs_student,h2__gaussian,zero,249,1,2000,-0.11025059199671743,-0.157950471989937,-0.0722570349230417,0.0
gain_vs_student,h2__gaussian,zero,249,5,2000,-0.11025059199671743,-0.16127122177242745,-0.06720512340241414,0.0
