fold,horizon_min,family,model_key,log_density,gain_vs_student,observations
0,1,gaussian,h1__gaussian,5.831730249077325,-0.13871072525013706,31149
0,1,gaussian_hmm,h1__gaussian_hmm,6.108168852903789,0.13772787857632696,31149
0,1,gmm,h1__gmm,5.971547334823416,0.0011063604959536378,31149
0,1,student_t,h1__student_t,5.970440974327462,0.0,31149
0,1,student_t_shared,h1__student_t_shared,6.119730395727723,0.14928942140026102,31149
0,1,student_t_state,h1__student_t_state,6.114180804619443,0.1437398302919806,31149
0,2,gaussian,h2__gaussian,5.525517959012184,-0.15244455286642106,15568
0,2,gaussian_hmm,h2__gaussian_hmm,5.790482618411107,0.11252010653250233,15568
0,2,gmm,h2__gmm,5.674698438983592,-0.0032640728950139707,15568
0,2,student_t,h2__student_t,5.677962511878605,0.0,15568
0,2,student_t_shared,h2__student_t_shared,5.796580142534604,0.11861763065599883,15568
0,2,student_t_state,h2__student_t_state,5.796637274120698,0.1186747622420927,15568
1,1,gaussian,h1__gaussian,6.024231410439854,-0.19574680898360772,28763
1,1,gaussian_hmm,h1__gaussian_hmm,6.331903033329757,0.11192481390629469,28763
1,1,gmm,h1__gmm,6.210463540570805,-0.00951467885265728,28763
1,1,student_t,h1__student_t,6.219978219423462,0.0,28763
1,1,student_t_shared,h1__student_t_shared,6.334406193749329,0.11442797432586659,28763
1,1,student_t_state,h1__student_t_state,6.333985004599972,0.1140067851765094,28763
1,2,gaussian,h2__gaussian,5.700300033764773,-0.19677776935996946,14377
1,2,gaussian_hmm,h2__gaussian_hmm,5.992741289330539,0.09566348620579677,14377
1,2,gmm,h2__gmm,5.892495672744026,-0.004582130380715651,14377
1,2,student_t,h2__student_t,5.897077803124742,0.0,14377
1,2,student_t_shared,h2__student_t_shared,5.997379064649882,0.10030126152513993,14377
1,2,student_t_state,h2__student_t_state,5.997337114118643,0.10025931099390095,14377
