fold,horizon_min,family,threshold,selected_k,eligible_candidates,same_k_as_1pct
8,1,gaussian_hmm,0.005,7,6,True
8,1,gaussian_hmm,0.01,7,6,True
8,1,gaussian_hmm,0.02,7,6,True
8,1,gaussian_hmm,0.05,4,3,False
8,1,student_t_shared,0.005,7,6,True
8,1,student_t_shared,0.01,7,6,True
8,1,student_t_shared,0.02,6,5,False
8,1,student_t_shared,0.05,4,3,False
8,1,student_t_state,0.005,7,6,True
8,1,student_t_state,0.01,7,6,True
8,1,student_t_state,0.02,6,5,False
8,1,student_t_state,0.05,4,3,False
8,2,gaussian_hmm,0.005,7,6,True
8,2,gaussian_hmm,0.01,7,6,True
8,2,gaussian_hmm,0.02,7,6,True
8,2,gaussian_hmm,0.05,4,3,False
8,2,student_t_shared,0.005,7,6,True
8,2,student_t_shared,0.01,7,6,True
8,2,student_t_shared,0.02,7,6,True
8,2,student_t_shared,0.05,4,3,False
8,2,student_t_state,0.005,7,6,True
8,2,student_t_state,0.01,7,6,True
8,2,student_t_state,0.02,7,6,True
8,2,student_t_state,0.05,4,3,False
9,1,gaussian_hmm,0.005,7,6,True
9,1,gaussian_hmm,0.01,7,6,True
9,1,gaussian_hmm,0.02,7,6,True
9,1,gaussian_hmm,0.05,5,5,False
9,1,student_t_shared,0.005,7,6,True
9,1,student_t_shared,0.01,7,6,True
9,1,student_t_shared,0.02,7,6,True
9,1,student_t_shared,0.05,6,5,False
9,1,student_t_state,0.005,7,6,True
9,1,student_t_state,0.01,7,6,True
9,1,student_t_state,0.02,7,6,True
9,1,student_t_state,0.05,6,5,False
9,2,gaussian_hmm,0.005,7,6,True
9,2,gaussian_hmm,0.01,7,6,True
9,2,gaussian_hmm,0.02,7,6,True
9,2,gaussian_hmm,0.05,7,6,True
9,2,student_t_shared,0.005,5,6,True
9,2,student_t_shared,0.01,5,6,True
9,2,student_t_shared,0.02,5,6,True
9,2,student_t_shared,0.05,5,6,True
9,2,student_t_state,0.005,7,6,True
9,2,student_t_state,0.01,7,6,True
9,2,student_t_state,0.02,7,6,True
9,2,student_t_state,0.05,7,6,True
