fold,horizon_min,family,k,iterations,strict_converged,last_delta,delta_per_observation,practical_converged_1e_5
8,1,gaussian_hmm,7,300,False,0.02201409754343331,1.0595263842478719e-07,True
8,1,student_t_shared,7,300,False,0.01323808092274703,6.371415401783211e-08,True
8,1,student_t_state,7,253,True,0.009973331645596772,4.8001095645713215e-08,True
8,2,gaussian_hmm,7,300,False,0.049537108818185516,4.770293111674661e-07,True
8,2,student_t_shared,7,300,False,0.018931177124613896,1.8230224974350134e-07,True
8,2,student_t_state,7,300,False,0.04471359372837469,4.305801312376589e-07,True
9,1,gaussian_hmm,7,300,False,0.04034460673574358,1.9216475858661947e-07,True
9,1,student_t_shared,7,262,True,0.009977811976568773,4.75251584990987e-08,True
9,1,student_t_state,7,289,True,0.009943693730747327,4.736265042175838e-08,True
9,2,gaussian_hmm,7,300,False,0.09451255106250755,9.017770860964206e-07,True
9,2,student_t_shared,5,263,True,0.009949717335985042,9.493370992381274e-08,True
9,2,student_t_state,7,300,False,0.05618176332791336,5.360497230901882e-07,True
