model_key,fold,event,stable_state_id,cost
h1__gaussian_hmm,8,new,h1__gaussian_hmm::R001,
h1__gaussian_hmm,8,new,h1__gaussian_hmm::R002,
h1__gaussian_hmm,8,new,h1__gaussian_hmm::R003,
h1__gaussian_hmm,8,new,h1__gaussian_hmm::R004,
h1__gaussian_hmm,8,new,h1__gaussian_hmm::R005,
h1__gaussian_hmm,8,new,h1__gaussian_hmm::R006,
h1__gaussian_hmm,8,new,h1__gaussian_hmm::R007,
h1__gaussian_hmm,9,matched,h1__gaussian_hmm::R001,0.020577483727426904
h1__gaussian_hmm,9,matched,h1__gaussian_hmm::R002,0.03157600491819097
h1__gaussian_hmm,9,matched,h1__gaussian_hmm::R003,0.02208264510168127
h1__gaussian_hmm,9,matched,h1__gaussian_hmm::R004,0.029907944595007598
h1__gaussian_hmm,9,matched,h1__gaussian_hmm::R005,0.045370638928260945
h1__gaussian_hmm,9,matched,h1__gaussian_hmm::R006,0.02194581634417808
h1__gaussian_hmm,9,matched,h1__gaussian_hmm::R007,0.02148174128637685
h1__student_t_shared,8,new,h1__student_t_shared::R001,
h1__student_t_shared,8,new,h1__student_t_shared::R002,
h1__student_t_shared,8,new,h1__student_t_shared::R003,
h1__student_t_shared,8,new,h1__student_t_shared::R004,
h1__student_t_shared,8,new,h1__student_t_shared::R005,
h1__student_t_shared,8,new,h1__student_t_shared::R006,
h1__student_t_shared,8,new,h1__student_t_shared::R007,
h1__student_t_shared,9,matched,h1__student_t_shared::R001,0.020758401784389056
h1__student_t_shared,9,matched,h1__student_t_shared::R002,0.05139560923117273
h1__student_t_shared,9,matched,h1__student_t_shared::R003,0.026477295461085463
h1__student_t_shared,9,matched,h1__student_t_shared::R004,0.042321514552275834
h1__student_t_shared,9,matched,h1__student_t_shared::R005,0.042084622817963165
h1__student_t_shared,9,matched,h1__student_t_shared::R006,0.08160343684309282
h1__student_t_shared,9,matched,h1__student_t_shared::R007,0.031118309102656682
h1__student_t_state,8,new,h1__student_t_state::R001,
h1__student_t_state,8,new,h1__student_t_state::R002,
h1__student_t_state,8,new,h1__student_t_state::R003,
h1__student_t_state,8,new,h1__student_t_state::R004,
h1__student_t_state,8,new,h1__student_t_state::R005,
h1__student_t_state,8,new,h1__student_t_state::R006,
h1__student_t_state,8,new,h1__student_t_state::R007,
h1__student_t_state,9,matched,h1__student_t_state::R001,0.022567858273835638
h1__student_t_state,9,matched,h1__student_t_state::R002,0.05131843783835184
h1__student_t_state,9,matched,h1__student_t_state::R003,0.026071928626265735
h1__student_t_state,9,matched,h1__student_t_state::R004,0.04828982942903603
h1__student_t_state,9,matched,h1__student_t_state::R005,0.04949004911305513
h1__student_t_state,9,matched,h1__student_t_state::R006,0.048493916681243886
h1__student_t_state,9,matched,h1__student_t_state::R007,0.044997365186290286
h2__gaussian_hmm,8,new,h2__gaussian_hmm::R001,
h2__gaussian_hmm,8,new,h2__gaussian_hmm::R002,
h2__gaussian_hmm,8,new,h2__gaussian_hmm::R003,
h2__gaussian_hmm,8,new,h2__gaussian_hmm::R004,
h2__gaussian_hmm,8,new,h2__gaussian_hmm::R005,
h2__gaussian_hmm,8,new,h2__gaussian_hmm::R006,
h2__gaussian_hmm,8,new,h2__gaussian_hmm::R007,
h2__gaussian_hmm,9,matched,h2__gaussian_hmm::R001,0.015719764480956775
h2__gaussian_hmm,9,matched,h2__gaussian_hmm::R002,0.07156492550431004
h2__gaussian_hmm,9,matched,h2__gaussian_hmm::R003,0.06794030951796018
h2__gaussian_hmm,9,matched,h2__gaussian_hmm::R004,0.06358931887408933
h2__gaussian_hmm,9,matched,h2__gaussian_hmm::R005,0.07457579012778645
h2__gaussian_hmm,9,matched,h2__gaussian_hmm::R006,0.03170111568120259
h2__gaussian_hmm,9,matched,h2__gaussian_hmm::R007,0.030641507699847827
h2__student_t_shared,8,new,h2__student_t_shared::R001,
h2__student_t_shared,8,new,h2__student_t_shared::R002,
h2__student_t_shared,8,new,h2__student_t_shared::R003,
h2__student_t_shared,8,new,h2__student_t_shared::R004,
h2__student_t_shared,8,new,h2__student_t_shared::R005,
h2__student_t_shared,8,new,h2__student_t_shared::R006,
h2__student_t_shared,8,new,h2__student_t_shared::R007,
h2__student_t_shared,9,matched,h2__student_t_shared::R001,0.042250344120803224
h2__student_t_shared,9,matched,h2__student_t_shared::R002,0.48180482244995443
h2__student_t_shared,9,matched,h2__student_t_shared::R003,0.28481690631467366
h2__student_t_shared,9,matched,h2__student_t_shared::R006,0.057155421997194554
h2__student_t_shared,9,matched,h2__student_t_shared::R007,0.026165271694930214
h2__student_t_shared,9,retired,h2__student_t_shared::R004,
h2__student_t_shared,9,retired,h2__student_t_shared::R005,
h2__student_t_state,8,new,h2__student_t_state::R001,
h2__student_t_state,8,new,h2__student_t_state::R002,
h2__student_t_state,8,new,h2__student_t_state::R003,
h2__student_t_state,8,new,h2__student_t_state::R004,
h2__student_t_state,8,new,h2__student_t_state::R005,
h2__student_t_state,8,new,h2__student_t_state::R006,
h2__student_t_state,8,new,h2__student_t_state::R007,
h2__student_t_state,9,matched,h2__student_t_state::R001,0.016174144526300886
h2__student_t_state,9,matched,h2__student_t_state::R002,0.026404048350477858
h2__student_t_state,9,matched,h2__student_t_state::R003,0.07310553528477312
h2__student_t_state,9,matched,h2__student_t_state::R004,0.23113734424938873
h2__student_t_state,9,matched,h2__student_t_state::R005,0.061469789916549
h2__student_t_state,9,matched,h2__student_t_state::R006,0.03531944727342732
h2__student_t_state,9,matched,h2__student_t_state::R007,0.018075223434929004
